source,compound
Al Jazeera English,-0.15854199999999993
Ars Technica,0.17347500000000002
Associated Press,-0.125075
BBC News,-0.2910180327868851
Blog.google,0.8495
Bloomberg,0.1644931818181818
Business Insider,0.22587799999999997
CNBC,0.22635858585858584
CNN,-0.2002811764705882
Daily Mail,0.08240799999999997
ESPN Cric Info,0.22194814814814812
Engadget,0.1975818181818182
Entertainment Weekly,0.183353
Firstpost,0.2079484848484849
Fox News,0.023548999999999994
Gizmodo.com,0.08704285714285712
Hindustan Times,0.14415154639175257
Lifehacker.com,0.7096
Mashable,0.05154285714285713
Medical News Today,-0.02026666666666667
Metro.co.uk,-0.13096799999999997
Mirror Online,0.051492
NDTV News,0.35949
New York Magazine,-0.08875499999999996
New York Times,0.1691
Reuters,0.022543089430894322
TechCrunch,0.21988571428571432
Telegraph.co.uk,-0.1494662921348315
The Economist,0.06458409090909092
The Hindu,0.125745
The Irish Times,-0.28244431818181803
The Wall Street Journal,-0.063207
The Washington Post,-0.2148271604938271
TheJournal.ie,-0.06778099999999997
Time,-0.173265
USA Today,0.02069393939393938
